basin_id;output;benchmark_kge;benchmark_type;3km_kge;1km_kge;200m_kge;beat_benchmark;ksat_3km;ksat_1km;ksat_200m;3km_nse;1km_nse;200m_nse;best_performance;mean_marrmot
0;TRUE;0.703476133;mean;0.29;0.346;0.351;FALSE;1;1;1;0.185;0.287;0.309;200m;0.286853611
1;TRUE;0.277206738;mean;0.774;0.79;0.771;TRUE;200;90;30;0.719;0.677;0.621;1km;0.677900255
2;TRUE;0.494196799;median;0.582;0.556;0.564;TRUE;1;10;10;0.503;0.424;0.4;3km;0.485717641
3;TRUE;0.295892042;median;0.736;0.709;0.769;TRUE;30;10;10;0.763;0.732;0.718;200m;0.624234241
4;TRUE;0.246806047;median;0.684;0.71;0.499;TRUE;20;10;1;0.737;0.724;0.638;1km;0.649563397
5;FALSE;;;;;;FALSE;;;;;;; ;0.46212788
6;TRUE;0.06669215;mean;0.779;0.726;0.721;TRUE;1;1;1;0.636;0.688;0.712;3km;0.558639106
7;TRUE;0.151489776;median;0.689;0.618;0.654;TRUE;20;1;1;0.653;0.638;0.706;3km;0.55269431
8;TRUE;0.143931259;median;0.495;0.624;0.656;TRUE;90;20;10;0.559;0.633;0.617;200m;0.621729171
9;TRUE;0.057008384;mean;0.357;0.54;0.796;TRUE;250;30;10;0.382;0.597;0.727;200m;0.710761985
10;TRUE;0.20401567;median;0.583;0.617;0.576;TRUE;30;10;10;0.536;0.586;0.549;1km;0.5917975
11;TRUE;0.144024398;median;-0.064;-0.264;-0.412;FALSE;80;30;10;-3.02;-4.816;-5.557;3km;
12;TRUE;0.161768959;median;0.427;0.567;0.582;TRUE;40;20;10;0.457;0.613;0.59;200m;
13;TRUE;0.112961472;mean;0.489;0.69;0.788;TRUE;50;20;10;0.573;0.754;0.768;200m;0.701373716
14;TRUE;-0.082469946;mean;0.479;0.634;0.466;TRUE;10;10;1;0.529;0.592;0.577;1km;0.522857715
15;TRUE;0.192396812;mean;0.684;0.678;0.611;TRUE;10;10;1;0.586;0.58;0.504;3km;0.565723222
16;TRUE;0.210307924;mean;0.479;0.539;0.586;TRUE;20;10;10;0.514;0.55;0.535;200m;0.52207021
17;TRUE;-0.067873124;median;-0.713;-0.658;-1.33;FALSE;30;20;10;-7.751;-6.558;-8.5;1km;0.352098159
18;TRUE;0.215279715;median;0.418;0.378;0.601;TRUE;30;10;10;0.422;0.431;0.522;200m;0.46080875
19;TRUE;0.214447884;median;0.47;0.65;0.32;TRUE;10;10;1;0.586;0.588;0.478;1km;0.510588539
20;TRUE;0.070537311;mean;0.543;0.667;0.642;TRUE;60;20;10;0.428;0.264;0.285;1km;
21;TRUE;0.143401118;mean;0.589;0.579;0.656;TRUE;30;10;10;0.539;0.525;0.611;200m;0.580162131
22;TRUE;0.099999071;median;0.445;0.666;0.688;TRUE;40;20;10;0.447;0.585;0.625;200m;0.571631634
23;TRUE;0.02650503;mean;0.626;0.652;0.579;TRUE;40;20;10;0.559;0.592;0.563;1km;0.634234535
24;TRUE;-0.018673988;mean;0.482;0.598;0.623;TRUE;40;20;10;0.47;0.573;0.603;200m;0.655084978
25;FALSE;;;;;;FALSE;;;;;;; ;0.701250879
26;TRUE;0.102324447;median;-1.16;-1.292;-1.466;FALSE;20;10;10;-11.841;-15.317;-9.58;3km;0.583313073
27;TRUE;-0.001452766;mean;0.733;0.774;0.737;TRUE;20;10;10;0.598;0.665;0.672;1km;0.618565214
28;TRUE;0.010143185;mean;0.7;0.641;0.747;TRUE;60;40;10;0.601;0.582;0.615;200m;0.360931781
29;TRUE;-0.012159473;mean;0.561;0.555;0.625;TRUE;80;30;10;0.538;0.54;0.569;200m;
30;TRUE;-0.080252996;mean;0.71;0.73;0.746;TRUE;40;20;10;0.658;0.671;0.658;200m;0.646932362
31;TRUE;0.166221427;median;0.618;0.827;0.846;TRUE;225;150;50;0.613;0.811;0.809;200m;0.20045454
32;TRUE;-0.079463391;mean;0.634;0.675;0.682;TRUE;60;30;10;0.531;0.533;0.519;200m;0.454470909
33;TRUE;0.02778523;mean;0.417;0.693;0.665;TRUE;50;20;10;0.34;0.59;0.579;1km;0.515914477
34;TRUE;-0.01197034;mean;0.45;0.614;0.634;TRUE;50;30;10;0.43;0.527;0.511;200m;0.537738407
35;TRUE;0.073309945;mean;0.576;0.578;0.482;TRUE;125;50;10;0.62;0.642;0.611;1km;0.590220128
36;TRUE;0.038985867;mean;-19.171;-18.988;-19.162;FALSE;1;1;1;-1010.669;-1111.726;-1125.906;1km;0.550860885
37;TRUE;-0.075701033;mean;0.65;0.742;0.736;TRUE;40;20;10;0.596;0.651;0.642;1km;0.595043443
38;FALSE;;;;;;FALSE;;;;;;; ;0.632067702
39;TRUE;-0.038900692;mean;0.469;0.578;0.569;TRUE;60;40;10;0.561;0.641;0.672;1km;0.671611983
40;TRUE;-0.031352944;median;0.566;0.68;0.678;TRUE;175;90;20;0.611;0.692;0.682;1km;0.658608684
41;TRUE;-0.023319437;median;0.406;0.536;0.619;TRUE;250;250;80;0.546;0.667;0.663;200m;0.720978332
42;TRUE;0.087069145;mean;-20.224;-34.198;-39.374;FALSE;1;1;1;-7387.299;-24420.935;-39624.071;3km;
43;TRUE;-0.076587597;median;-1.653;-1.389;-1.526;FALSE;1;90;40;-21.326;-14.899;-14.537;1km;
44;TRUE;-0.099625432;mean;0.691;0.748;0.808;TRUE;125;60;20;0.724;0.763;0.784;200m;
45;TRUE;-0.05872887;mean;0.162;-0.083;-0.659;TRUE;1;70;1;-1.049;-4.725;-15.068;3km;
46;TRUE;0.109296819;median;0.731;0.493;0.716;TRUE;1000;10000;250;0.563;0.29;0.396;3km;0.612681713
47;TRUE;-0.067927521;median;0.545;0.725;0.774;TRUE;500;250;90;0.471;0.61;0.668;200m;0.623212268
48;TRUE;0.090521227;mean;0.504;0.524;0.604;TRUE;125;50;20;0.602;0.607;0.62;200m;0.584903724
49;TRUE;0.038122979;mean;0.36;0.547;0.756;TRUE;100;50;10;0.414;0.579;0.663;200m;0.401425684
50;FALSE;;;;;;FALSE;;;;;;; ;0.569250935
51;TRUE;0.023916793;mean;0.666;0.735;0.747;TRUE;70;40;10;0.647;0.729;0.773;200m;0.520213615
52;TRUE;0.051962524;mean;0.573;0.593;0.548;TRUE;90;40;10;0.694;0.743;0.725;1km;0.699530369
53;FALSE;;;;;;FALSE;;;;;;; ;0.639402454
54;TRUE;0.169222855;mean;0.707;0.751;0.677;TRUE;40;20;10;0.675;0.692;0.645;1km;0.680108963
55;TRUE;0.213452779;mean;0.724;0.745;0.725;TRUE;70;30;10;0.693;0.71;0.681;1km;0.684534954
56;TRUE;0.195408709;mean;0.639;0.659;0.622;TRUE;60;30;10;0.636;0.626;0.555;1km;0.587381942
57;FALSE;;;;;;FALSE;;;;;;; ;0.535962343
58;TRUE;0.021459483;mean;0.593;0.646;0.62;TRUE;50;20;10;0.572;0.595;0.555;1km;0.645999263
59;TRUE;0.250288525;mean;0.543;0.596;0.578;TRUE;70;40;10;0.633;0.644;0.635;1km;0.589507521
60;TRUE;0.054560655;mean;0.46;0.611;0.697;TRUE;50;30;10;0.543;0.666;0.695;200m;0.429598437
61;TRUE;0.039735804;mean;0.551;0.623;0.626;TRUE;80;40;10;0.58;0.65;0.684;200m;0.505800926
62;TRUE;;median;0.353;0.219;0.156;FALSE;1;1;1;0.694;0.672;0.653;3km;0.633019366
63;TRUE;;median;0.184;0.126;0.056;FALSE;1;1;1;0.542;0.048;-0.608;3km;0.670584505
64;TRUE;0.154490039;mean;0.457;0.593;0.618;TRUE;100;50;20;0.444;0.562;0.553;200m;0.636219132
65;TRUE;;median;0.044;-2.273;-2.419;FALSE;1;1;1;0.281;-46.299;-54.347;3km;0.471890943
66;TRUE;-0.058486051;mean;0.543;0.556;0.571;TRUE;125;80;30;0.55;0.573;0.579;200m;0.652653527
67;TRUE;-0.0765782;mean;0.627;0.637;0.79;TRUE;500;250;100;0.384;0.479;0.63;200m;0.42128474
68;TRUE;-0.134038886;mean;0.624;0.708;0.714;TRUE;750;500;150;0.437;0.533;0.55;200m;0.395103743
69;TRUE;-0.020031906;mean;0.601;0.674;0.724;TRUE;500;200;60;0.42;0.406;0.485;200m;0.422713951
70;TRUE;-0.129188532;mean;-0.124;-0.636;-0.704;TRUE;225;125;40;-4.644;-9.776;-8.591;3km;0.504519121
71;TRUE;0.257019609;median;-8.021;-12.14;-13.69;FALSE;1;1;1;-253.213;-579.165;-805.412;3km;0.618576301
72;TRUE;0.149955664;mean;0.557;0.678;0.672;TRUE;80;50;10;0.593;0.684;0.645;1km;0.619106649
73;TRUE;0.084222366;mean;0.701;0.682;0.667;TRUE;80;60;20;0.596;0.575;0.539;3km;0.589497469
74;TRUE;0.154858192;mean;0.505;0.503;0.473;TRUE;50;30;10;0.466;0.444;0.405;3km;0.592649219
75;TRUE;0.051986519;median;-2.571;-2.803;-2.971;FALSE;1;1;1;-41.226;-54.754;-69.377;3km;0.560810691
76;TRUE;0.024015843;mean;0.215;0.08;-0.164;TRUE;20;10;1;-1.439;-1.753;-5.584;3km;
77;TRUE;-0.209882853;mean;0.494;0.533;0.48;TRUE;30;20;10;0.464;0.498;0.453;1km;0.3893533
78;TRUE;0.018974068;mean;0.602;0.579;0.624;TRUE;750;500;175;0.234;0.1;0.146;200m;0.519423673
79;TRUE;-0.025270361;mean;0.479;0.512;0.493;TRUE;125;90;30;0.438;0.474;0.469;1km;0.396646392
80;TRUE;-0.076354825;mean;0.586;0.675;0.712;TRUE;200;125;40;0.533;0.625;0.661;200m;0.571370771
81;TRUE;-0.053942748;mean;0.766;0.775;0.817;TRUE;750;250;70;0.606;0.591;0.658;200m;0.540672543
82;FALSE;;;;;;FALSE;;;;;;; ;0.592087693
83;TRUE;-0.158257986;mean;-0.758;-1.535;-1.988;FALSE;1;1;1;-5.198;-11.856;-16.895;3km;
84;TRUE;0.013243225;mean;0.602;0.681;0.685;TRUE;500;225;70;0.592;0.665;0.668;200m;0.504389446
85;TRUE;-0.035885338;mean;0.597;0.636;0.669;TRUE;200;125;40;0.495;0.556;0.613;200m;0.353287443
86;TRUE;-0.038581671;mean;0.68;0.701;0.719;TRUE;250;250;70;0.581;0.632;0.661;200m;0.42002294
87;TRUE;-0.1326166;mean;0.648;0.689;0.704;TRUE;250;150;60;0.549;0.612;0.643;200m;0.549135041
88;TRUE;-0.045674697;median;0.772;0.738;0.691;TRUE;250;125;40;0.586;0.448;0.309;3km;0.532673865
89;TRUE;0.107395337;mean;0.732;0.801;0.814;TRUE;70;50;20;0.719;0.723;0.7;200m;0.610750671
90;TRUE;0.048489555;mean;0.658;0.705;0.654;TRUE;30;20;10;0.692;0.705;0.643;1km;
91;TRUE;-0.00135888;mean;0.651;0.654;0.504;TRUE;60;30;10;0.622;0.648;0.525;1km;0.562905153
92;TRUE;0.073798421;mean;0.583;0.604;0.594;TRUE;70;50;20;0.566;0.581;0.549;1km;0.626943026
93;TRUE;-0.371284362;mean;0.474;0.52;0.517;TRUE;100;90;30;0.443;0.499;0.491;1km;0.620137017
94;TRUE;0.038946386;mean;0.578;0.583;0.598;TRUE;60;40;10;0.565;0.589;0.62;200m;0.667911262
95;TRUE;0.124699203;mean;0.507;0.517;0.518;TRUE;100;60;20;0.474;0.497;0.496;200m;0.580234758
96;TRUE;0.049247203;mean;0.551;0.566;0.565;TRUE;90;70;20;0.537;0.552;0.564;1km;0.615438554
97;TRUE;-0.384232249;mean;0.458;0.558;0.632;TRUE;30;20;10;0.539;0.562;0.572;200m;0.545731807
98;TRUE;0.108226713;median;0.556;0.459;0.572;TRUE;40;20;10;0.502;0.438;0.46;200m;0.200842084
99;TRUE;-0.367765859;mean;0.473;0.544;0.579;TRUE;150;100;30;0.41;0.485;0.518;200m;0.421515121
100;TRUE;-0.115545042;mean;0.46;0.449;0.251;TRUE;500;500;80;0.311;0.371;-0.103;3km;0.423696687
101;TRUE;-0.016965354;mean;0.688;0.657;0.618;TRUE;250;225;70;0.309;0.335;0.326;3km;0.642254663
102;TRUE;-0.269859342;mean;0.565;0.532;0.554;TRUE;1;20;10;0.251;-0.171;-0.189;3km;0.478216211
103;FALSE;;;;;;FALSE;;;;;;; ;0.641961596
104;TRUE;-0.178119583;median;0.606;0.423;0.4;TRUE;1000;750;250;0.729;0.677;0.569;3km;0.668763552
105;TRUE;-0.085777819;mean;0.751;0.788;0.81;TRUE;60;40;10;0.678;0.715;0.701;200m;0.589076549
106;TRUE;-0.108588118;mean;0.096;0.166;0.324;TRUE;1000;1000;500;0.075;0.07;0.288;200m;0.547732117
107;TRUE;-0.097052138;mean;0.738;0.712;0.81;TRUE;250;125;40;0.629;0.682;0.705;200m;0.579681643
108;TRUE;-0.069611877;mean;0.642;0.683;0.73;TRUE;125;100;30;0.395;0.426;0.501;200m;0.437435411
109;TRUE;-0.055554995;mean;0.643;0.688;0.73;TRUE;500;250;90;0.206;0.278;0.441;200m;-0.060029454
110;TRUE;-0.085468938;mean;0.581;0.559;0.615;TRUE;750;500;150;0.397;0.449;0.5;200m;0.287688308
111;FALSE;;;;;;FALSE;;;;;;; ;0.560599174
112;TRUE;-0.108839371;mean;0.617;0.701;0.714;TRUE;500;250;80;0.361;0.377;0.46;200m;0.550855923
113;TRUE;-0.121560452;mean;0.571;0.646;0.685;TRUE;500;225;60;0.331;0.322;0.415;200m;0.530302938
114;TRUE;-0.133463424;mean;0.685;0.758;0.745;TRUE;1;1;1;0.554;0.533;0.515;1km;0.513342239
115;FALSE;;;;;;FALSE;;;;;;; ;0.64924926
116;FALSE;;;;;;FALSE;;;;;;; ;0.577779206
117;TRUE;-0.09798563;mean;0.745;0.549;0.333;TRUE;1000;1000;750;0.605;0.508;0.488;3km;
118;TRUE;-0.118596808;mean;0.663;0.532;0.395;TRUE;1;40;10;0.321;-0.019;-0.477;3km;0.422774404
119;TRUE;-0.186751665;mean;-2.209;-2.668;-2.55;FALSE;125;100;60;-78.963;-99.259;-75.83;3km;0.409677636
120;TRUE;-0.05753708;median;0.534;0.555;0.5;TRUE;1000;1000;1000;-0.182;-0.169;0.229;1km;0.653407
121;FALSE;;;;;;FALSE;;;;;;; ;0.479808784
122;TRUE;-0.102950568;mean;0.709;0.76;0.774;TRUE;200;150;40;0.574;0.597;0.622;200m;0.460650182
123;TRUE;-0.207641376;mean;0.665;0.696;0.733;TRUE;200;125;40;0.568;0.598;0.633;200m;0.451256141
124;TRUE;-0.112050809;mean;0.644;0.653;0.67;TRUE;500;250;100;0.494;0.534;0.535;200m;0.494317179
125;TRUE;-0.123352893;mean;0.687;0.77;0.788;TRUE;250;200;60;0.426;0.547;0.585;200m;0.560345639
126;TRUE;-0.027465502;mean;0.42;0.567;0.666;TRUE;1;1;1;0.338;0.284;0.368;200m;0.581117046
127;TRUE;-0.135462596;mean;0.575;0.512;0.44;TRUE;1;1;1;-0.032;-0.361;-0.664;3km;0.51869328
128;TRUE;-0.145653949;mean;0.654;0.697;0.541;TRUE;80;50;10;0.683;0.71;0.69;1km;0.654185455
129;TRUE;-0.151891005;mean;0.591;0.661;0.654;TRUE;125;70;20;0.54;0.609;0.597;1km;0.675053361
130;FALSE;;;;;;FALSE;;;;;;; ;0.628751694
131;TRUE;-0.087334416;mean;0.662;0.638;0.749;TRUE;70;70;20;0.623;0.611;0.64;200m;0.683277787
132;TRUE;-0.095403083;mean;0.728;0.81;0.799;TRUE;150;125;30;0.609;0.64;0.66;1km;0.555456044
133;TRUE;-0.11126344;mean;0.743;0.758;0.74;TRUE;90;60;20;0.539;0.476;0.494;1km;0.551541622
134;TRUE;0.033820105;median;0.797;0.796;0.798;TRUE;150;80;20;0.728;0.739;0.749;200m;0.591192223
135;TRUE;0.085037305;mean;0.696;0.837;0.821;TRUE;80;50;10;0.635;0.677;0.667;1km;0.593622029
136;TRUE;-0.149328918;mean;-0.02;-0.126;-0.131;TRUE;1;1;1;-0.095;-0.418;-0.642;3km;0.358989977
137;TRUE;-0.145729178;mean;-0.19;-0.273;-0.287;FALSE;1;1;1;-0.182;-0.669;-1.059;3km;0.268679987
138;TRUE;-0.04310065;mean;-1.445;-1.697;-1.965;FALSE;1;1;1;-13.4;-19.389;-25.971;3km;0.25828435
139;TRUE;-0.058449514;mean;0.628;0.507;0.357;TRUE;1;1;1;0.085;-0.39;-1.146;3km;0.142567204
140;TRUE;-0.07656104;mean;0.722;0.342;0.296;TRUE;1;1;1;0.565;-0.046;-0.338;3km;0.496789129
141;TRUE;0.021086932;mean;0.455;0.407;0.4;TRUE;50;50;20;-0.577;-0.802;-0.679;3km;0.463866571
142;TRUE;0.016701746;mean;0.732;0.606;0.411;TRUE;20;10;1;0.586;0.119;-0.535;3km;0.27095681
143;TRUE;0.015958185;mean;0.19;0.115;0.07;TRUE;60;80;30;-1.423;-1.634;-1.573;3km;0.503591505
144;TRUE;-0.221429291;mean;0.314;0.197;0.211;TRUE;1;1;1;-0.236;-0.993;-1.433;3km;0.543900519
145;TRUE;0.016132026;mean;0.424;0.626;0.618;TRUE;750;500;150;0.433;0.589;0.548;1km;
146;FALSE;;;;;;FALSE;;;;;;; ;
147;TRUE;-0.200006584;mean;0.774;0.64;0.402;TRUE;30;10;1;0.525;0.266;-0.231;3km;0.620312361
148;TRUE;-0.224797658;mean;0.692;0.485;0.526;TRUE;20;20;1;0.767;0.675;0.146;3km;0.489249084
149;TRUE;0.175527073;mean;0.67;0.607;0.512;TRUE;100;60;20;0.476;0.354;0.235;3km;0.713646864
150;TRUE;0.26319779;mean;0.341;0.239;0.122;TRUE;10;1;1;0.061;-1.234;-2.486;3km;
151;FALSE;;;;;;FALSE;;;;;;; ;0.635960236
152;TRUE;0.267557435;mean;0.655;0.648;0.579;TRUE;500;225;60;0.62;0.493;0.357;3km;
153;TRUE;0.144852741;mean;0.677;0.711;0.656;TRUE;90;50;10;0.579;0.535;0.3;1km;0.641258409
154;TRUE;0.037013681;mean;0.724;0.712;0.554;TRUE;1;10;1;0.612;0.57;0.37;3km;0.678379654
155;TRUE;-0.049909408;mean;0.363;0.289;0.372;TRUE;30;10;1;0.452;0.432;0.577;200m;
156;FALSE;;;;;;FALSE;;;;;;; ;
157;TRUE;-0.2836827;mean;-1.013;-1.749;-1.23;FALSE;80;40;20;-9.297;-15.829;-5.456;3km;
158;TRUE;-0.007839349;mean;-0.064;-0.248;-0.31;FALSE;1;1;1;-4.941;-7.697;-8.597;3km;
159;TRUE;-0.280021043;median;0.036;-0.119;-0.208;TRUE;1;1;1;-3.612;-5.715;-6.983;3km;0.486711022
160;TRUE;-0.074503274;mean;-2.364;-2.795;-2.919;FALSE;1;1;1;-49.422;-72.6;-89.66;3km;
161;TRUE;-0.130669468;mean;0.799;0.741;0.703;TRUE;90;60;20;0.708;0.472;0.353;3km;
;;;;;;;;;;;;;;;0.684932674
162;TRUE;-0.04681526;mean;0.568;0.222;0.082;TRUE;100;40;10;-0.074;-1.66;-2.783;3km;0.338167996
163;TRUE;0.123114539;mean;0.278;0.231;0.209;TRUE;250;150;50;-0.865;-0.98;-1.003;3km;0.458363561
164;TRUE;-0.01666463;mean;0.519;0.452;0.438;TRUE;150;80;20;0.175;-0.014;-0.172;3km;0.391016984
165;TRUE;-0.051886584;mean;0.476;0.402;0.358;TRUE;125;70;20;0.414;0.17;0.057;3km;0.567516364
166;TRUE;-0.08457341;mean;0.717;0.699;0.656;TRUE;500;250;70;0.648;0.63;0.58;3km;
167;TRUE;0.076470527;mean;0.329;0.284;0.261;TRUE;225;150;40;-0.128;-0.161;-0.242;3km;0.637000404
168;TRUE;0.091390734;mean;0.368;0.341;0.3;TRUE;175;100;30;-0.357;-0.507;-0.58;3km;0.546048697
169;TRUE;-0.055415396;mean;0.587;0.441;0.464;TRUE;1000;1000;250;0.185;0.022;-0.039;3km;0.621191571
170;TRUE;-0.087213637;mean;-3.321;-4.308;-5.003;FALSE;1;1;1;-56.185;-94.233;-137.388;3km;
171;TRUE;-0.020955802;mean;-1.978;-2.371;-2.428;FALSE;20;20;1;-20.925;-29.518;-37.611;3km;
172;FALSE;;;;;;FALSE;;;;;;; ;0.578256211
173;TRUE;0.025659913;mean;0.696;0.654;0.649;TRUE;500;250;100;0.46;0.408;0.542;3km;0.60359337
174;TRUE;0.041380705;mean;0.668;0.645;0.646;TRUE;500;500;100;0.312;0.473;0.415;3km;0.538505831
175;TRUE;0.083639187;mean;0.643;0.551;0.573;TRUE;500;250;100;0.247;0.029;0.251;3km;
176;TRUE;-0.051866121;mean;0.759;0.645;0.603;TRUE;125;80;30;0.613;0.482;0.518;3km;0.684738835
177;TRUE;-0.042676668;mean;0.208;0.398;0.654;TRUE;100000;10000;500;0.066;0.285;0.334;200m;0.626478728
178;TRUE;0.104838777;mean;-0.353;0.408;0.512;TRUE;1;10000;500;-0.476;0.128;-0.359;200m;
179;TRUE;-0.015293089;mean;0.73;0.839;0.875;TRUE;175;125;40;0.681;0.7;0.757;200m;0.785929692
180;FALSE;;;;;;FALSE;;;;;;; ;0.750389698
;;;;;;;;;;;;;;;0.608458032
;;;;;;;;;;;;;;;0.665047927
181;TRUE;0.13924733;mean;0.299;0.296;0.302;TRUE;750;500;200;-1.243;-1.153;-1.125;200m;0.48495524
182;TRUE;-0.00016731;mean;0.726;0.591;0.552;TRUE;225;125;40;0.685;0.539;0.52;3km;0.69790884
183;TRUE;0.061436905;mean;0.278;0.403;0.545;TRUE;100000;10000;500;0.335;0.599;0.285;200m;0.562657871
184;TRUE;-0.064352102;mean;0.543;0.442;0.422;TRUE;1000;750;225;0.367;0.315;0.292;3km;0.653539251
185;TRUE;-0.100108408;mean;0.617;0.74;0.702;TRUE;500;175;50;0.574;0.437;0.379;1km;0.678718508
186;FALSE;;;;;;FALSE;;;;;;; ;0.678501866
;;;;;;;;;;;;;;;0.683500308
187;TRUE;-0.177522406;mean;0.829;0.848;0.827;TRUE;250;225;70;0.732;0.771;0.776;1km;0.736819143
188;TRUE;-0.144227281;mean;0.847;0.821;0.797;TRUE;250;250;80;0.688;0.69;0.682;3km;0.746217742
189;TRUE;0.2690465;mean;0.573;0.591;0.526;TRUE;100;50;10;0.601;0.588;0.548;1km;0.618941627
190;TRUE;0.257016839;median;0.553;0.648;0.673;TRUE;225;125;40;0.538;0.638;0.66;200m;0.611699706
191;TRUE;0.272622276;mean;0.688;0.698;0.694;TRUE;250;125;40;0.627;0.633;0.621;1km;0.626353064
192;TRUE;0.15938182;mean;0.551;0.649;0.667;TRUE;175;125;30;0.474;0.541;0.558;200m;0.496335704
193;FALSE;;;;;;FALSE;;;;;;; ;0.607791127
194;TRUE;0.208005339;mean;0.486;0.618;0.66;TRUE;100;70;20;0.535;0.611;0.633;200m;0.621374491
195;TRUE;0.152082669;median;0.56;0.629;0.631;TRUE;500;225;60;0.536;0.614;0.614;200m;0.634688246
196;TRUE;0.036160347;mean;-2.348;-3.824;-4.126;FALSE;1;1;1;-31.523;-70.292;-86.013;3km;0.40323323
197;TRUE;-0.255989807;mean;0.742;0.781;0.687;TRUE;20;10;1;0.656;0.69;0.601;1km;0.736606226
198;TRUE;-0.213501478;median;0.559;0.647;0.649;TRUE;150;70;20;0.521;0.64;0.646;200m;
199;TRUE;-0.250962322;mean;0.627;0.629;0.614;TRUE;50;30;10;0.64;0.634;0.596;1km;0.680078582
200;TRUE;-0.260627574;mean;0.68;0.734;0.754;TRUE;250;150;40;0.662;0.681;0.679;200m;0.712060132
201;TRUE;0.184979155;mean;0.692;0.776;0.777;TRUE;125;70;20;0.679;0.685;0.65;200m;0.564714821
202;TRUE;0.210775341;mean;0.558;0.686;0.698;TRUE;150;90;30;0.604;0.688;0.681;200m;0.608212817
203;TRUE;0.047224015;mean;0.427;0.555;0.611;TRUE;750;500;125;0.41;0.525;0.59;200m;0.704281405
204;TRUE;0.090454626;mean;0.651;0.659;0.655;TRUE;200;150;40;0.652;0.684;0.709;1km;0.693601291
205;TRUE;0.051064972;mean;0.581;0.679;0.714;TRUE;40;80;30;0.493;0.614;0.684;200m;0.690675377
206;TRUE;-0.085700045;median;0.673;0.719;0.729;TRUE;125;70;20;0.693;0.706;0.703;200m;0.609638475
207;TRUE;-0.001850077;median;0.738;0.773;0.762;TRUE;125;80;20;0.732;0.751;0.756;1km;0.548124684
208;TRUE;-0.150600564;mean;0.311;0.45;0.494;TRUE;200;150;40;0.221;0.389;0.456;200m;
209;TRUE;-0.074686665;mean;0.694;0.71;0.697;TRUE;225;150;50;0.559;0.592;0.594;1km;0.577277694
210;TRUE;0.087892441;mean;0.536;0.54;0.534;TRUE;125;90;30;0.521;0.521;0.502;1km;0.604313069
211;TRUE;-0.236753654;median;0.48;0.598;0.611;TRUE;50;20;10;0.463;0.591;0.537;200m;0.648333833
212;TRUE;-0.252325764;mean;-0.003;-0.008;-0.006;TRUE;80;50;10;-0.307;-0.307;-0.296;3km;0.687992119
213;TRUE;-0.222891555;mean;0.76;0.79;0.706;TRUE;40;20;10;0.693;0.703;0.67;1km;0.65558244
214;TRUE;0.04765872;mean;-1.157;-1.313;-1.324;FALSE;1;1;1;-13.167;-17.93;-18.958;3km;0.651042918
